Iteration,beta1_1011,beta1_1112,beta1_1213,beta1_1314,beta1_1415,beta1_1516,beta1_1617,beta1_1718,beta1_1819,beta1_1920,beta2_1011,beta2_1112,beta2_1213,beta2_1314,beta2_1415,beta2_1516,beta2_1617,beta2_1718,beta2_1819,beta2_1920,eta1_1011,eta1_1112,eta1_1213,eta1_1314,eta1_1415,eta1_1516,eta1_1617,eta1_1718,eta1_1819,eta1_1920,eta2_1011,eta2_1112,eta2_1213,eta2_1314,eta2_1415,eta2_1516,eta2_1617,eta2_1718,eta2_1819,eta2_1920,alpha1,gamma1,alpha2,gamma2,pi_<6m,pi_6-12m,pi_1,pi_2-4,pi_5-17,pi_18-49,pi_50-64,pi_65-74,pi_75+,lh1_<6m,lh1_6-12m,lh1_1,lh1_2-4,lh1_5-17,lh1_18-49,lh1_50-64,lh1_65-74,lh1_75+,lh2_<6m,lh2_6-12m,lh2_1,lh2_2-4,lh2_5-17,lh2_18-49,lh2_50-64,lh2_65-74,lh2_75+,kappa1_0-4,kappa1_5-14,kappa1_15-64,kappa1_65+,kappa2_0-4,kappa2_5-14,kappa2_15-64,kappa2_65+,lromega1,lrpsi1,delta1,sigma1,theta1,lromega2,lrpsi2,delta2,sigma2,theta2,Loglik,Accepted,Season
0,1.90636758464523,2.93683259850188,2.37119470023894,2.77659001249861,2.72658450020943,2.30336120462749,2.481422866687,2.4563766549503,2.47179428261406,2.02804776086867,1.88283828504906,1.65402914847775,1.43364597740335,1.2219250533948,1.63598200381163,1.7409837589812,1.86148697492265,1.51882163508976,1.991159276474,1.65820647820981,-21.5650019677498,-3.32634029089145,-6.06591508965955,-6.70019697243937,-5.5252571618263,-5.5839644211494,-9.56858249422849,-9.42470754731652,-6.3270318639397,-14.8613970624902,-11.55662886638,-17.8443450824431,-25.2090617861133,-25.4979295163274,-15.732651896969,-15.0621999223702,-26.6568817343641,-26.3573752588067,-14.1480678883347,-18.2989070649175,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.18354002431674,-2.45005338170539,-2.57058955097547,-3.03930940712843,-4.05913867071027,-4.00116553451091,-3.33407392393739,-2.68584054339699,-2.15151831351089,-1.21742086235412,-1.87138813287034,-2.23228659645136,-2.89189285576971,-4.96694296685985,-4.99927328540484,-4.07552696198261,-3.35984427739031,-2.6895475414754,0.0669197366842951,0.0139499412912736,0.0417754464295562,0.0202372306323772,0.0314286574634598,0.00876247993997467,0.0180275528653176,0.00736573047292112,-3,-3.000000000034861,1.00000034633551,1.000000444365,0.513409702835356,-3.0000000000067315,-2.9999999999436806,0.999999398107688,1.00000015913456,0.999999699759967,NA,NA,All
50,1.91383533128322,2.93683259850188,2.42645244444504,2.79364537475647,2.74607137822523,2.30881712305586,2.481422866687,2.4563766549503,2.47179428261406,2.0130485733021,1.84782804039473,1.65402914847775,1.4474912720419,1.209435571795,1.64829108570907,1.73309962826027,1.86148697492265,1.51882163508976,1.991159276474,1.67196550618479,-21.5997942100604,-3.32634029089145,-6.02495465877022,-6.61843024353623,-5.5407965167271,-5.57479427761848,-9.56858249422849,-9.42470754731652,-6.3270318639397,-14.9072646821137,-11.5568370110152,-17.8443450824431,-25.2538168082471,-25.4026971569815,-15.6646677046533,-15.0968722601137,-26.6568817343641,-26.3573752588067,-14.1480678883347,-18.3259616957536,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.18675934275566,-2.4472545683261,-2.57708659549749,-3.0413517724949,-4.05729009488317,-3.99770598907319,-3.33472647091568,-2.6878054977619,-2.15405742171937,-1.22279185674017,-1.870291680792,-2.23362652124508,-2.88738479855785,-4.96438676791089,-5.00118507504065,-4.07586240332705,-3.36861573143042,-2.67969772039547,0.0680070125703822,0.0126379784298947,0.0415115139197114,0.0202837256874646,0.0315776525386692,0.0090685816416972,0.0168294443770456,0.00672270335713265,-3,-3.00000000003486,1.00000034633551,1.000000444365,0.166225248357765,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11158.0559747131,1,19/20
100,1.91383533128322,2.92143049748949,2.39107211322441,2.78320135919427,2.73804308733991,2.31735923435006,2.481422866687,2.4563766549503,2.45046865479584,2.0130485733021,1.84782804039473,1.64576663585568,1.44503965035513,1.23379278448598,1.67091184415434,1.75222195475923,1.86148697492265,1.51882163508976,1.98958707291185,1.67196550618479,-21.5997942100604,-3.33612552678909,-6.01465927856429,-6.69034263785961,-5.57204869101444,-5.60538688670946,-9.56858249422849,-9.42470754731652,-6.29243866797887,-14.9072646821137,-11.5568370110152,-17.7488606137735,-25.3306263675063,-25.5104814398586,-15.615459589007,-15.0379331538832,-26.6568817343641,-26.3573752588067,-14.2378699267067,-18.3259616957536,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.18675934275566,-2.4472545683261,-2.57708659549749,-3.0413517724949,-4.05729009488317,-3.99770598907319,-3.33472647091568,-2.6878054977619,-2.15405742171937,-1.22279185674017,-1.870291680792,-2.23362652124508,-2.88738479855785,-4.96438676791089,-5.00118507504065,-4.07586240332705,-3.36861573143042,-2.67969772039547,0.0680070125703822,0.0126379784298947,0.0415115139197114,0.0202837256874646,0.0315776525386692,0.0090685816416972,0.0168294443770456,0.00672270335713265,-3,-3.00000000003486,1.00000034633551,1.000000444365,0.102408027827777,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11159.8529988618,0,19/20
150,1.91383533128322,2.92143049748949,2.36633786533896,2.76846273169897,2.74990925254342,2.2945506099639,2.481422866687,2.4563766549503,2.47376390555698,2.03325991277457,1.84782804039473,1.64576663585568,1.42882528228668,1.24000603600665,1.65639960303818,1.77555297484819,1.86148697492265,1.51882163508976,1.9936958619808,1.6881086910176,-21.5997942100604,-3.33612552678909,-6.05093274993331,-6.68672424800705,-5.6190215239681,-5.62984719154536,-9.56858249422849,-9.42470754731652,-6.33477159882365,-14.9638828985597,-11.5568370110152,-17.7488606137735,-25.2976257918699,-25.4748989877468,-15.5327282118898,-15.1642876259794,-26.6568817343641,-26.3573752588067,-14.2650620097658,-18.2622951561952,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.19265424678594,-2.44721310897714,-2.57940726020748,-3.03622196913918,-4.05763616778882,-4.01214750950226,-3.33641372690553,-2.68714292266996,-2.16099379579377,-1.21059185538575,-1.88519257498847,-2.24411062957853,-2.88823351375298,-4.95347040095374,-5.00308171871727,-4.08037199807811,-3.37571334849531,-2.68209843565759,0.0694926524748902,0.0115542870430046,0.0404550509959712,0.0200943607808903,0.0308863959216096,0.0115144907420559,0.0150935355228823,0.00865716319727923,-3,-3.00000000003486,1.00000034633551,1.000000444365,0.301457116592235,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11161.6487413852,1,19/20
200,1.91410620425576,2.92143049748949,2.36633786533896,2.76846273169897,2.74990925254342,2.2663892026668,2.4888271979613,2.44135013443339,2.48491306389036,2.03310293254689,1.88110864615049,1.64576663585568,1.42882528228668,1.24000603600665,1.65639960303818,1.77044554998356,1.87254784418904,1.50135693115255,2.00834876368154,1.7118840418383101,-21.5399801563997,-3.33612552678909,-6.05093274993331,-6.68672424800705,-5.6190215239681,-5.67676407060864,-9.59324227790565,-9.56480897594169,-6.2571003303568,-14.8762491854858,-11.6403428236422,-17.7488606137735,-25.2976257918699,-25.4748989877468,-15.5327282118898,-15.244680834407,-26.6632047977521,-26.3091896473657,-14.2903806614129,-18.2992613695137,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.19689322766076,-2.43968560666606,-2.5726361932581,-3.03629114145035,-4.06007880145204,-4.01014784562214,-3.33881048793711,-2.69369328877004,-2.16316132363694,-1.21852962918857,-1.88512752050389,-2.24585683266733,-2.89174175284552,-4.95370650487899,-5.01080667818959,-4.07576123892533,-3.36835396604031,-2.67516760258263,0.070447681623273,0.0122499667454945,0.0397399322566706,0.0212117253955845,0.0319039693660762,0.0120133451475202,0.0163703580476905,0.00813422115504774,-3,-3.00000000003486,1.00000034633551,1.000000444365,0.0985276350571257,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11167.1184574852,0,19/20
250,1.89615770006307,2.90604477311145,2.36096800311675,2.7653593543352,2.73944670880589,2.2809387195055,2.49055997016062,2.41892379818786,2.48491306389036,2.05321360211377,1.83989584576995,1.66121350718049,1.45598683597307,1.24468779755183,1.6443198828019,1.75048017550189,1.85444615345414,1.52329173913326,2.00834876368154,1.70018186842582,-21.6147731573631,-3.36581419242578,-6.15430131507048,-6.68900140122986,-5.45197229993602,-5.70668487242167,-9.56939950061251,-9.54791211030611,-6.2571003303568,-14.7299496878693,-11.7728114116548,-17.687132587479802,-25.2936881091435,-25.4864712493691,-15.5353908992702,-15.3489715480036,-26.6438790335563,-26.3409513978856,-14.2903806614129,-18.3383131136596,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.20394646861169,-2.44028026968426,-2.57041608174116,-3.03595101200192,-4.0706184236788,-4.0082300295199,-3.33370260726992,-2.69192152237177,-2.16923565035846,-1.21266655970214,-1.88517031655184,-2.2506275490546,-2.89633320256222,-4.95639904863909,-5.0035053369945,-4.07086943450583,-3.37428129611875,-2.67854937147529,0.0712282473282241,0.0127638990883692,0.0410415976713769,0.0203301820352011,0.0310452485313984,0.0110829722633156,0.0163806778660327,0.00829302068302923,-3,-3.00000000003486,1.00000034633551,1.000000444365,0.188763659632796,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11162.296104229,0,18/19
300,1.91422364172479,2.90010444284648,2.3289958776487,2.7653593543352,2.73978804997349,2.2915502850436,2.49055997016062,2.43948251760727,2.46730258426166,2.04973593258347,1.83660158644985,1.65104459021993,1.44431777427576,1.24468779755183,1.63132490740182,1.74734848391906,1.85444615345414,1.50599756193838,1.96868411284941,1.69080160980996,-21.4766749980128,-3.40243587212117,-6.24649554717277,-6.68900140122986,-5.51751232687338,-5.70671630360241,-9.56939950061251,-9.59005239614812,-6.2041426237796,-14.7466795099925,-11.8257789680845,-17.7058525541104,-25.4442747901568,-25.4864712493691,-15.5549488947053,-15.3138767335437,-26.6438790335563,-26.3182303124533,-14.2771328554117,-18.3312463690622,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.21201972902052,-2.43024665991614,-2.58101013813727,-3.04889144128101,-4.06289396495907,-3.9981133668764,-3.34206850638353,-2.69518013021307,-2.16940874800204,-1.22493247998726,-1.88642033182847,-2.24526149257506,-2.89084069366375,-4.95349890181945,-4.99075320851203,-4.06646251465453,-3.37093055421653,-2.69687268271812,0.0722805134445678,0.0124360916300319,0.0424722980090036,0.0203990335493488,0.0339765341140949,0.00925746113855964,0.0141205141140154,0.010227260154127,-3,-3.00000000003486,1.00000034633551,1.000000444365,0.227758259598566,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11161.798493353701,1,18/19
350,1.91535703319702,2.90010444284648,2.34870728948447,2.7810263579357,2.75436117313534,2.28686540829272,2.49055997016062,2.43948251760727,2.46730258426166,2.0128340078771,1.83392965966483,1.65104459021993,1.44054580544736,1.27962071303093,1.65145317923509,1.73406426841851,1.85444615345414,1.50599756193838,1.96868411284941,1.67307825672603,-21.521890363733,-3.40243587212117,-6.11083390947938,-6.64387514964758,-5.46624406441218,-5.74215711260047,-9.56939950061251,-9.59005239614812,-6.2041426237796,-14.6963703104637,-11.7944457086752,-17.7058525541104,-25.4949269934604,-25.4856104353529,-15.5240584598182,-15.2090443179517,-26.6438790335563,-26.3182303124533,-14.2771328554117,-18.2988011375799,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.21149115799226,-2.43775015446499,-2.58291008024119,-3.05147123483983,-4.06631390473517,-3.99798794365909,-3.33827973445015,-2.70229710517476,-2.1632802203839,-1.22656247678806,-1.88708495412186,-2.24925635816509,-2.8931772932103,-4.95033868973472,-5.0009257893769,-4.07195399775715,-3.37190986223689,-2.69520934347757,0.072062278202686,0.013532268158587,0.0427977867563049,0.0199322954398253,0.0348897501137301,0.0101340441878982,0.0122562174911158,0.0111135562856884,-3,-3.00000000003486,1.00000034633551,1.000000444365,0.141374135136953,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11161.7750228116,0,18/19
400,1.94080895835906,2.90141003239648,2.34870728948447,2.77727005058269,2.75436117313534,2.28660853903319,2.47971703533287,2.43948251760727,2.46730258426166,1.99354899717873,1.82667476654371,1.66554299211537,1.44054580544736,1.23963579647138,1.65145317923509,1.72273215675031,1.85347523589681,1.50599756193838,1.96868411284941,1.66315377975473,-21.4890114433303,-3.42051138167408,-6.11083390947938,-6.51410220069042,-5.46624406441218,-5.71505099191894,-9.60924210809517,-9.59005239614812,-6.2041426237796,-14.6929120601894,-11.8922734571693,-17.6684226571771,-25.4949269934604,-25.435563162012,-15.5240584598182,-15.2132512678319,-26.652125186861,-26.3182303124533,-14.2771328554117,-18.4160319883738,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.21974120125073,-2.44668653237425,-2.58456251633533,-3.04446131880935,-4.06443545917204,-4.01153593514277,-3.33919433018829,-2.70571130024649,-2.16256958912543,-1.23191285480584,-1.88590284742649,-2.25251558273544,-2.88803132673419,-4.94961818354086,-5.00271264537966,-4.07131358085717,-3.38306128753351,-2.69976321746229,0.0732620627750335,0.010643696645207,0.0439756672477986,0.0176565699619462,0.0328958550669081,0.00989369013818452,0.0131242155685079,0.0115724741911228,-3,-3.00000000003486,1.00000034633551,1.000000444365,0.269457030533891,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11166.4018491029,0,18/19
450,1.93161216734814,2.92616210469348,2.34906249085099,2.75345405293624,2.75363375179665,2.28281414608218,2.47971703533287,2.45313077902253,2.44905339896061,2.00177758459268,1.83238162793617,1.62158011742688,1.42134318003792,1.23598535544331,1.66721214181547,1.7097344455753,1.85347523589681,1.51644339303368,1.95417469471976,1.63569399656421,-21.4867558485282,-3.33755248797161,-6.15071416008085,-6.6190335949506,-5.50583955827935,-5.74464507428368,-9.60924210809517,-9.56626351912166,-6.21254121562537,-14.7036337374747,-11.9406597475911,-17.7944700740203,-25.4555460300549,-25.37970012653,-15.4623396029825,-15.1848755856501,-26.652125186861,-26.3082626319947,-14.3164591486149,-18.4395199998017,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.22045291321719,-2.44828997585258,-2.59553626997094,-3.06197864530101,-4.06344295428642,-4.00995447880426,-3.34705467934827,-2.70315745722351,-2.16686738712276,-1.23718993612596,-1.8847100564557,-2.25203826416858,-2.89150517622978,-4.94762636826623,-4.99449747864667,-4.07519984446294,-3.38487812121423,-2.70010727549538,0.0733035727092394,0.00975794197529206,0.043265477974162,0.0169437498884229,0.0321667253851831,0.00992397450631174,0.0142121892519489,0.0113319147997179,-3,-3.00000000003486,1.00000034633551,1.000000444365,0.0511705783683204,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11177.2834010845,0,18/19
