Iteration,beta1_1011,beta1_1112,beta1_1213,beta1_1314,beta1_1415,beta1_1516,beta1_1617,beta1_1718,beta1_1819,beta1_1920,beta2_1011,beta2_1112,beta2_1213,beta2_1314,beta2_1415,beta2_1516,beta2_1617,beta2_1718,beta2_1819,beta2_1920,eta1_1011,eta1_1112,eta1_1213,eta1_1314,eta1_1415,eta1_1516,eta1_1617,eta1_1718,eta1_1819,eta1_1920,eta2_1011,eta2_1112,eta2_1213,eta2_1314,eta2_1415,eta2_1516,eta2_1617,eta2_1718,eta2_1819,eta2_1920,alpha1,gamma1,alpha2,gamma2,pi_<6m,pi_6-12m,pi_1,pi_2-4,pi_5-17,pi_18-49,pi_50-64,pi_65-74,pi_75+,lh1_<6m,lh1_6-12m,lh1_1,lh1_2-4,lh1_5-17,lh1_18-49,lh1_50-64,lh1_65-74,lh1_75+,lh2_<6m,lh2_6-12m,lh2_1,lh2_2-4,lh2_5-17,lh2_18-49,lh2_50-64,lh2_65-74,lh2_75+,kappa1_0-4,kappa1_5-14,kappa1_15-64,kappa1_65+,kappa2_0-4,kappa2_5-14,kappa2_15-64,kappa2_65+,lromega1,lrpsi1,delta1,sigma1,theta1,lromega2,lrpsi2,delta2,sigma2,theta2,Loglik,Accepted,Season
0,1.9125877377721,2.86685542134408,2.30753844551721,2.76409847796242,2.72084640329295,2.2699817369542,2.43262357666069,2.44027841511994,2.50501991241082,1.99268219338723,1.93911385420089,1.64462398058382,1.42924259265537,1.22518447831079,1.59860060029087,1.67429739480815,1.88577053939109,1.53957176313446,1.95005136961492,1.60808156439939,-20.3583131812461,-3.70941091664428,-7.0637625896989,-6.69362077482889,-5.61508564558196,-6.03047729389239,-10.1865389960503,-9.5896927095192,-6.14184266996745,-16.2629260634444,-11.158712113849,-18.0094756515922,-25.2284751505466,-25.3855190301459,-16.6323476491436,-16.2618576681891,-16.3192769167708,-19.7768112130052,-14.640158191148,-19.7075849171398,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.16799430980687,-2.51060904100898,-2.56100213401946,-3.01521680699738,-4.03533187507614,-4.03582051892915,-3.31809240755282,-2.70525524323815,-2.15685653078688,-1.21419316228224,-1.8634558242594501,-2.27222917691256,-2.92423625744774,-4.97147552042352,-4.98645811465132,-4.0884846869441,-3.39884970711991,-2.67638425080672,0.0684489111913552,0.0134495846272195,0.0380819512577525,0.019071661002056,0.0311397099686435,0.00719336869337913,0.0145755454157352,0.0078032503555814,-3,-3.000000000034861,1.00000034633551,1.000000444365,1.00000019240689,-3.0000000000067315,-2.9999999999436806,0.999999398107688,1.00000015913456,0.697445281054118,NA,NA,All
50,1.9369769796561,2.83674241268258,2.31421008011342,2.76916348894497,2.72084640329295,2.26708473921134,2.44094919582231,2.41977583140213,2.47974637685075,1.97376366364123,1.92200562477637,1.64379784004269,1.43022558104756,1.19927137469471,1.59860060029087,1.6543925723343,1.90302506843582,1.54418352459086,1.92713661971656,1.61044633859862,-20.2195784163748,-3.74609858290472,-7.00959812417375,-6.65619422089381,-5.61508564558196,-5.94916313308734,-9.94159262123723,-9.66693713281327,-6.10375455029631,-16.2456732236666,-11.1670581288312,-18.0575883073989,-25.2933672764789,-25.3553366043781,-16.6323476491436,-16.2638185199548,-16.451941446532,-19.7459813842038,-14.6284712984033,-19.7298810429862,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.16752134029115,-2.52414409142019,-2.56774797217813,-3.02007664201297,-4.02842568919533,-4.04007191667795,-3.32627089659646,-2.70854608120999,-2.15967388217963,-1.21577817255597,-1.86213786090443,-2.27450789439124,-2.92758773034636,-4.97044536084357,-4.98710266514997,-4.09257961830751,-3.402018766777,-2.66778354053009,0.0668129224945703,0.0162388792363118,0.0369148796959576,0.0193630295089114,0.0296539466971584,0.0103244233712978,0.0136323836569958,0.007713851420602,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.219162350899778,-11188.2814563893,1,19/20
100,1.94068483347498,2.83623813750246,2.33731661029355,2.72159237507301,2.74289100539747,2.28366545986417,2.43196000938952,2.42214579497624,2.48182250689768,1.99842903491786,1.9092997116632,1.63588343646084,1.46055711117092,1.19681085260138,1.57650112054139,1.667410476762,1.87814267782142,1.56509910432334,1.96352266856791,1.58526746146137,-20.2371101437891,-3.78619041479219,-6.69716574579077,-6.72598744911763,-5.63222098722341,-5.95729150508314,-10.0109365893699,-9.63689152190881,-6.06972868650138,-16.2608798706869,-11.1607456622087,-18.1759687586931,-25.2918993186596,-25.3562665289903,-16.7521991159743,-16.2801741606351,-16.3617116383532,-19.6385639987675,-14.4921980888515,-19.7497555819301,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.17471886076932,-2.5225213019644,-2.56713884960192,-3.02668937133444,-4.0304916552823,-4.02805246714034,-3.33600193036968,-2.71099549166961,-2.16328247098276,-1.2141175128017,-1.86291804983647,-2.26545543385197,-2.92247675206792,-4.95889714624515,-4.96781490577735,-4.10209197797625,-3.39400627713301,-2.66455186097918,0.0679896935163987,0.0167771075245742,0.0365704595462271,0.0180887897817409,0.028940281649627,0.0105326319601433,0.0145404810676056,0.0087077810290225,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.983780474116821,-11191.3984663369,0,19/20
150,1.93232878553649,2.83826502142612,2.32500068250816,2.70869319722291,2.75541115444205,2.28366545986417,2.4332627897489,2.4198727476824198,2.47768363659966,1.99077133996797,1.94315180714541,1.63254318224955,1.43286947874148,1.21794385899816,1.59001639614818,1.667410476762,1.88154776640663,1.55519201392104,1.95721729666695,1.57952518251223,-20.1907546220045,-3.74874270425297,-6.91279182065058,-6.7578615836851,-5.59416778418887,-5.95729150508314,-10.005722409694,-9.49616429281864,-6.1650953294074,-16.3419351654958,-11.0965234398336,-18.1194635597727,-25.3457313052613,-25.28354159303,-16.6778302604912,-16.2801741606351,-16.3090219484932,-19.5921573417009,-14.5418864658467,-19.7944965848953,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.17793094754108,-2.52247120761446,-2.56547299499305,-3.03225832840771,-4.02709942260124,-4.02119066500722,-3.34160501255071,-2.70758301642469,-2.16713923394231,-1.21346512838805,-1.85961759918936,-2.26525021448751,-2.92397621837437,-4.95096573447275,-4.97224309333173,-4.09702492610187,-3.39117394112638,-2.65991567711444,0.0681770304785449,0.0170072856090767,0.037513848063993,0.0168070860743492,0.0285637662119431,0.0111569208822494,0.0146614671109895,0.00870726085924182,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,1.14847296219879,-11193.4814925822,0,19/20
200,1.93396386571512,2.83862861295418,2.35124632146621,2.73453191044626,2.72877534372355,2.25608615836057,2.43394666226567,2.43058647779808,2.47768363659966,1.96417512954415,1.9258994175159,1.6339452429227,1.41924934534807,1.24742927815866,1.59997713019925,1.68180940360299,1.89432087903969,1.5297334705052,1.95721729666695,1.59039911687209,-20.034448811148,-3.94269539762775,-6.82798597449669,-6.79350008661034,-5.46377421178379,-5.9692706209768,-9.96958060040915,-9.58673409072735,-6.1650953294074,-16.3314587787788,-11.2267024319487,-18.0300373462812,-25.2467305883034,-25.2130885934712,-16.6711060723651,-16.1846169389161,-16.3377924479626,-19.6132598255031,-14.5418864658467,-19.5962302485298,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.18805885391506,-2.5129407940249,-2.54021932735314,-3.0365866938565,-4.02606259004478,-4.02171588507005,-3.35400092085211,-2.71976642368516,-2.15574036955465,-1.20471755248385,-1.86697124505225,-2.23508530243017,-2.9319232273835,-4.95132110105544,-4.97017532453556,-4.10184942391065,-3.37543848818436,-2.67421754903883,0.0688196924473793,0.0143106321752715,0.034630475198939,0.0165294270893701,0.0259975881620591,0.010996212096899,0.0154500779665452,0.00855716491249778,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.543026997110263,-11189.0284172172,1,19/20
250,1.91429347699858,2.85139888076854,2.35124632146621,2.74493535292928,2.75550950836376,2.23678363641153,2.42268294628609,2.43400701234129,2.49355341392735,1.98737942374444,1.9149395169218,1.63507920675323,1.41924934534807,1.20239536423373,1.59589393468841,1.68113614199687,1.90303662895216,1.55623163263274,1.96940006936046,1.56784832215773,-20.0819649095463,-4.00865562663777,-6.82798597449669,-6.6992554202607,-5.45921158530682,-6.00917687025836,-9.92615669545803,-9.52784601712867,-6.14371068616026,-16.1443571470415,-11.2967217995552,-18.0600063474674,-25.2467305883034,-25.1721801902656,-16.5119934811758,-16.169796227383,-16.5582875950269,-19.6355430803065,-14.5318453081964,-19.7002749183513,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.16609232328949,-2.49774052828418,-2.53951713262963,-3.04492999496808,-4.030709831002,-4.0375103565074,-3.36838820621085,-2.70465979451569,-2.14415776048584,-1.2028254530659,-1.86151164499604,-2.2320103853769,-2.9276910092389,-4.96163887317147,-4.97615550731176,-4.10396316931998,-3.36892482320811,-2.68459148978098,0.0670612244696246,0.0154783698178568,0.0362705923601381,0.0174655000294415,0.0249225995627517,0.00863432534386626,0.0136771053672166,0.00691618471023188,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.551197101392748,-11192.4701186658,0,18/19
300,1.94953654264111,2.87317670905356,2.33744506636199,2.75730233391508,2.75550950836376,2.27984552047877,2.46147616014647,2.43400701234129,2.49511019817728,1.94008715231249,1.89430057554356,1.64952086924708,1.39063236005118,1.231160311691,1.59589393468841,1.68536114712404,1.86682790670571,1.55623163263274,1.97816758230569,1.56588534870221,-20.1239441828339,-3.72147013280547,-6.8289774896322,-6.66690697694321,-5.45921158530682,-5.82376482085138,-9.87735218174853,-9.52784601712867,-5.98975155983293,-16.1335108332713,-11.2528948786971,-18.0970269102511,-25.2866050044518,-25.2158036362861,-16.5119934811758,-16.1015677364021,-16.4889772243513,-19.6355430803065,-14.4516167683771,-19.7518915665619,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.1629751869284,-2.5003943629612,-2.52830402850098,-3.05519571006463,-4.03356190541567,-4.03551318360191,-3.34854981873775,-2.71075491183747,-2.14386849167142,-1.19533428382423,-1.86035689681382,-2.23664508587486,-2.93285872531662,-4.95501585303629,-4.95963459503089,-4.11063681722493,-3.38302455959768,-2.68569921402238,0.0681512997559084,0.0135595169695643,0.0374762787926647,0.0180840372655024,0.0262446369569026,0.00808314476809512,0.014883693600322,0.00863236133733396,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.271729993794948,-11189.370001589,0,18/19
350,1.91852461374565,2.89596488664318,2.32719953238318,2.76164314362602,2.73708452192824,2.27984552047877,2.46147616014647,2.43198061283007,2.48387694158956,1.98029500475976,1.87284387528452,1.62388656312122,1.40733468644036,1.24073846644316,1.57083100407764,1.68536114712404,1.86682790670571,1.5606887456281,1.96889242653313,1.55796457103782,-20.043327199965,-3.68933934790151,-6.76099098094773,-6.62632082646588,-5.55268692575571,-5.82376482085138,-9.87735218174853,-9.5050180850345,-6.05255803350903,-15.9662425096502,-11.2108390930101,-18.0199076827897,-25.1874128348948,-25.1817103117283,-16.6249316275323,-16.1015677364021,-16.4889772243513,-19.650890488943,-14.3220082027726,-19.7461412302706,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.1629751869284,-2.5003943629612,-2.52830402850098,-3.05519571006463,-4.03356190541567,-4.03551318360191,-3.34854981873775,-2.71075491183747,-2.14386849167142,-1.19533428382423,-1.86035689681382,-2.23664508587486,-2.93285872531662,-4.95501585303629,-4.95963459503089,-4.11063681722493,-3.38302455959768,-2.68569921402238,0.0681512997559084,0.0135595169695643,0.0374762787926647,0.0180840372655024,0.0262446369569026,0.00808314476809512,0.014883693600322,0.00863236133733396,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.52757255668245,-11187.1728265336,1,18/19
400,1.92882144399719,2.86610842812406,2.34784452731627,2.73340295920707,2.76002664986405,2.27984552047877,2.44191180725953,2.43198061283007,2.48596706649813,1.99788761331811,1.86070412153245,1.651979192,1.40707128511135,1.24788750837934,1.62382986522061,1.68536114712404,1.91569863519422,1.5606887456281,1.97976708489228,1.57899203220761,-20.0866370328372,-3.54371442426665,-6.7868916676306,-6.669821667102,-5.34517035045699,-5.82376482085138,-9.80002324398019,-9.5050180850345,-6.01971248405124,-15.7883103513315,-11.1926808590135,-17.8903612956992,-25.2245862652572,-25.1273811235687,-16.5235830683897,-16.1015677364021,-16.3481524752387,-19.650890488943,-14.2877268140069,-19.9079401337256,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.15632522246804,-2.4975296039718198,-2.52782658763436,-3.06113758791698,-4.03536010496933,-4.0322787320132,-3.34701693335784,-2.71839761048303,-2.14642687581673,-1.19999925175486,-1.85069333245869,-2.23262268404692,-2.92752514405642,-4.95167809916481,-4.95407765783453,-4.11606343754528,-3.38298451758542,-2.68516617678961,0.0663999613381586,0.0136773871770972,0.039021755224579,0.0183595343040075,0.0267224304794026,0.00654982400222502,0.0147569595046248,0.00775786864238029,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.467219270989176,-11186.4679210352,0,18/19
450,1.91432884545293,2.86610842812406,2.34052997387018,2.76076839598119,2.76714235042833,2.26379711251635,2.4791529695846,2.41429767959523,2.50863327872567,2.01373486663171,1.87974876821654,1.651979192,1.43544793137334,1.24057113170405,1.60741356775806,1.68021220784329,1.90612417715806,1.57044084131117,1.99916237599579,1.56877998727,-20.1243393721982,-3.54371442426665,-6.81074971644023,-6.58469474318711,-5.38043476537131,-5.86054624022641,-9.84484586788078,-9.4375540759244,-6.08767047627915,-15.7665529208785,-11.1513650509415,-17.8903612956992,-25.2710382018525,-24.9589494417098,-16.4315628602277,-16.1523498645043,-16.3613459364903,-19.663540335089,-14.3888984117625,-19.9253283986233,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.16171395479005,-2.49957439028094,-2.53010152357652,-3.05466051835944,-4.04642676239653,-4.03155566253699,-3.33958022819863,-2.71983747944366,-2.14331623142694,-1.19571731558166,-1.84529242443775,-2.23293684289948,-2.93394804370705,-4.94934615864495,-4.94247335656096,-4.11311611344535,-3.37714533869482,-2.69549744085374,0.0663145339855395,0.0130155908062386,0.0389092872162501,0.0165843468436136,0.0274483600026884,0.00662275246310662,0.013173124970196,0.0074005543823336,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.560323605887993,-11188.4130641026,1,18/19
